school_name,city_state,district,rank_state_elementary,grade_level,enrollment,student_teacher_ratio,description,source_page,source_raw_school_name
Oralia R Rodriguez Elementary,"Seguin, TX",Seguin Independent School District,2390.0,K-5,513,17:1,"Oralia R Rodriguez Elementary is a  school located in Seguin, TX, which is in a fringe town setting.  The student population of Oralia R Rodriguez Elementary is 513, and the school serves K through 5 At...",239,Oralia R RodriguezElementary
Ignite Community School - Humble,"Humble, TX",,2391.0,K-5,188,14:1,"Ignite Community School - Humble is a  school located in Humble, TX, which is in a large city setting.  The student population of Ignite Community School - Humble is 188, and the school serves K through...",240,Ignite Community School -Humble
Good Elementary,"Carrollton, TX",Carrollton-Farmers Branch Independent School District,2392.0,PK-5,515,13:1,"Good Elementary is a  school located in Carrollton, TX, which is in a large suburb setting.  The student population of Good Elementary is 515, and the school serves PK through 5 At Good Elementary, 47%...",240,GoodElementary
Founders Classical Academy Corinth,"Corinth, TX",,2393.0,K-5,537,17:1,"Founders Classical Academy Corinth is a  school located in Corinth, TX, which is in a large suburb setting.  The student population of Founders Classical Academy Corinth is 537, and the school serves K...",240,Founders Classical AcademyCorinth
Jean & Betty Schmalz Elementary,"Houston, TX",Katy Independent School District,2394.0,PK-5,"1,206",13:1,"Jean & Betty Schmalz Elementary is a  school located in Houston, TX, which is in a large suburb setting.  The student population of Jean & Betty Schmalz Elementary is 1206, and the school serves PK through...",240,Jean & Betty SchmalzElementary
North Bridge Elementary,"Weslaco, TX",Weslaco Independent School District,2395.0,PK-5,749,17:1,"North Bridge Elementary is a  school located in Weslaco, TX, which is in a large suburb setting.  The student population of North Bridge Elementary is 749, and the school serves PK through 5 At North Bridge...",240,North BridgeElementary
Don Jose Gallego,"Laredo, TX",Laredo Independent School District,2396.0,PK-5,591,17:1,"Don Jose Gallego is a  school located in Laredo, TX, which is in a large city setting.  The student population of Don Jose Gallego is 591, and the school serves PK through 5 At Don Jose Gallego, 36% scored...",240,Don JoseGallego
Martinez C Elementary,"Houston, TX",Houston Independent School District,2397.0,PK-5,257,14:1,"Martinez C Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of Martinez C Elementary is 257, and the school serves PK through 5 At Martinez C Elementary,...",240,Martinez CElementary
West Cypress Hills Elementary,"Spicewood, TX",Lake Travis Independent School District,2398.0,PK-5,602,15:1,"West Cypress Hills Elementary is a  school located in Spicewood, TX, which is in a fringe rural setting.  The student population of West Cypress Hills Elementary is 602, and the school serves PK through...",240,West Cypress HillsElementary
Teague Elementary,"Pasadena, TX",Pasadena Independent School District,2399.0,PK-4,729,14:1,"Teague Elementary is a  school located in Pasadena, TX, which is in a mid-size city setting.  The student population of Teague Elementary is 729, and the school serves PK through 4 At Teague Elementary,...",240,TeagueElementary
De Zavala Elementary,"Baytown, TX",,2400.0,K-5,589,16:1,"De Zavala Elementary is a  school located in Baytown, TX, which is in a small city setting.  The student population of De Zavala Elementary is 589, and the school serves K through 5 At De Zavala Elementary,...",240,De ZavalaElementary
Peck Elementary,"Houston, TX",Houston Independent School District,2401.0,PK-5,340,13:1,"Peck Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of Peck Elementary is 340, and the school serves PK through 5 At Peck Elementary, 32% scored...",241,PeckElementary
Devonian Elementary,"Andrews, TX",Andrews Independent School District,2402.0,2-3,687,16:1,"Devonian Elementary is a  school located in Andrews, TX, which is in a distant town setting.  The student population of Devonian Elementary is 687, and the school serves 2 through 3 At Devonian Elementary,...",241,DevonianElementary
Tom C Gooch Elementary,"Dallas, TX",Dallas Independent School District,2403.0,PK-5,355,12:1,"Tom C Gooch Elementary is a  school located in Dallas, TX, which is in a large city setting.  The student population of Tom C Gooch Elementary is 355, and the school serves PK through 5 At Tom C Gooch...",241,Tom C GoochElementary
Schallert Elementary,"Alice, TX",Alice Independent School District,2404.0,PK-5,563,18:1,"Schallert Elementary is a  school located in Alice, TX, which is in a distant town setting.  The student population of Schallert Elementary is 563, and the school serves PK through 5 At Schallert Elementary,...",241,SchallertElementary
Travis Pri,"Sulphur Springs, TX",Sulphur Springs Independent School District,2405.0,K-3,253,13:1,"Travis Pri is a  school located in Sulphur Springs, TX, which is in a remote town setting.  The student population of Travis Pri is 253, and the school serves K through 3 At Travis Pri, 42% scored at or...",241,TravisPri
Hemphill Elementary,"Hemphill, TX",Hemphill Independent School District,2406.0,PK-4,318,12:1,"Hemphill Elementary is a  school located in Hemphill, TX, which is in a remote rural setting.  The student population of Hemphill Elementary is 318, and the school serves PK through 4 At Hemphill Elementary,...",241,HemphillElementary
Christie Elementary,"Frisco, TX",Frisco Independent School District,2407.0,PK-7,671,14:1,"Christie Elementary is a  school located in Frisco, TX, which is in a large suburb setting.  The student population of Christie Elementary is 671, and the school serves PK through 7 At Christie Elementary,...",241,ChristieElementary
Leonard Shanklin Elementary,"Luling, TX",Luling Independent School District,2408.0,PK-5,711,14:1,"Leonard Shanklin Elementary is a  school located in Luling, TX, which is in a distant town setting.  The student population of Leonard Shanklin Elementary is 711, and the school serves PK through 5 At...",241,Leonard ShanklinElementary
West Elementary,"White Settlement, TX",White Settlement Independent School District,2409.0,PK-4,558,16:1,"West Elementary is a  school located in White Settlement, TX, which is in a large suburb setting.  The student population of West Elementary is 558, and the school serves PK through 4 At West Elementary,...",241,WestElementary
Francone Elementary,"Houston, TX",Cypress-Fairbanks Independent School District,2410.0,PK-5,730,13:1,"Francone Elementary is a  school located in Houston, TX, which is in a large suburb setting.  The student population of Francone Elementary is 730, and the school serves PK through 5 At Francone Elementary,...",241,FranconeElementary
Ropes School,"Ropesville, TX",Ropes Independent School District,2411.0,PK-12,576,11:1,"Ropes School is a  school located in Ropesville, TX, which is in a distant rural setting.  The student population of Ropes School is 576, and the school serves PK through 12 At Ropes School, 52% scored...",242,RopesSchool
Idea Edgecliff Academy,"Fort Worth, TX",,2412.0,K-5,721,23:1,"Idea Edgecliff Academy is a  school located in Fort Worth, TX, which is in a large city setting.  The student population of Idea Edgecliff Academy is 721, and the school serves K through 5 At Idea Edgecliff...",242,Idea EdgecliffAcademy
Kennedy Elementary,"Houston, TX",Alief Independent School District,2413.0,PK-4,521,11:1,"Kennedy Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of Kennedy Elementary is 521, and the school serves PK through 4 At Kennedy Elementary,...",242,KennedyElementary
County Line Elementary,"New Braunfels, TX",New Braunfels Independent School District,2414.0,K-5,370,13:1,"County Line Elementary is a  school located in New Braunfels, TX, which is in a mid-size city setting.  The student population of County Line Elementary is 370, and the school serves K through 5 At County...",242,County LineElementary
Ford Elementary,"Spring, TX",Conroe Independent School District,2415.0,PK-4,868,14:1,"Ford Elementary is a  school located in Spring, TX, which is in a large city setting.  The student population of Ford Elementary is 868, and the school serves PK through 4 At Ford Elementary, 46% scored...",242,FordElementary
Fadden-Mckeown-Chambliss Elementary,"Beeville, TX",Beeville Independent School District,2416.0,1-5,608,17:1,"Fadden-Mckeown-Chambliss Elementary is a  school located in Beeville, TX, which is in a remote town setting.  The student population of Fadden-Mckeown-Chambliss Elementary is 608, and the school serves...",242,Fadden-Mckeown-ChamblissElementary
H T Jones Elementary,"Hempstead, TX",Waller Independent School District,2417.0,PK-5,760,14:1,"H T Jones Elementary is a  school located in Hempstead, TX, which is in a distant rural setting.  The student population of H T Jones Elementary is 760, and the school serves PK through 5 At H T Jones...",242,H T JonesElementary
John G Tower Elementary,"Wichita Falls, TX",Burkburnett Independent School District,2418.0,PK-5,437,13:1,"John G Tower Elementary is a  school located in Wichita Falls, TX, which is in a mid-size city setting.  The student population of John G Tower Elementary is 437, and the school serves PK through 5 At...",242,John G TowerElementary
Landry Elementary,"Irving, TX",Carrollton-Farmers Branch Independent School District,2419.0,PK-5,535,15:1,"Landry Elementary is a  school located in Irving, TX, which is in a large city setting.  The student population of Landry Elementary is 535, and the school serves PK through 5 At Landry Elementary, 38%...",242,LandryElementary
Yantis Elementary,"Yantis, TX",Yantis Independent School District,2420.0,PK-5,173,11:1,"Yantis Elementary is a  school located in Yantis, TX, which is in a remote rural setting.  The student population of Yantis Elementary is 173, and the school serves PK through 5 At Yantis Elementary, 42%...",242,YantisElementary
Elysian Fields Elementary,"Marshall, TX",Elysian Fields Independent School District,2421.0,PK-5,375,14:1,"Elysian Fields Elementary is a  school located in Marshall, TX, which is in a distant rural setting.  The student population of Elysian Fields Elementary is 375, and the school serves PK through 5 At Elysian...",243,Elysian FieldsElementary
Mineral Wells Elementary,"Mineral Wells, TX",Mineral Wells Independent School District,2422.0,PK-6,"1,907",16:1,"Mineral Wells Elementary is a  school located in Mineral Wells, TX, which is in a distant town setting.  The student population of Mineral Wells Elementary is 1907, and the school serves PK through 6 At...",243,Mineral WellsElementary
Aoy Elementary,"El Paso, TX",El Paso Independent School District,2423.0,PK-5,312,14:1,"Aoy Elementary is a  school located in El Paso, TX, which is in a large city setting.  The student population of Aoy Elementary is 312, and the school serves PK through 5 At Aoy Elementary, 32% scored...",243,AoyElementary
Northgate Elementary,"Houston, TX",Spring Independent School District,2424.0,PK-5,687,13:1,"Northgate Elementary is a  school located in Houston, TX, which is in a large suburb setting.  The student population of Northgate Elementary is 687, and the school serves PK through 5 At Northgate Elementary,...",243,NorthgateElementary
J Lyndal Hughes Elementary,"Roanoke, TX",Northwest Independent School District,2425.0,PK-5,665,14:1,"J Lyndal Hughes Elementary is a  school located in Roanoke, TX, which is in a large city setting.  The student population of J Lyndal Hughes Elementary is 665, and the school serves PK through 5 At J Lyndal...",243,J Lyndal HughesElementary
Red Oak Elementary,"Red Oak, TX",Red Oak Independent School District,2426.0,PK-5,523,14:1,"Red Oak Elementary is a  school located in Red Oak, TX, which is in a large suburb setting.  The student population of Red Oak Elementary is 523, and the school serves PK through 5 At Red Oak Elementary,...",243,Red OakElementary
Barbara Yarbrough Elementary,"Midland, TX",Midland Independent School District,2427.0,PK-6,716,20:1,"Barbara Yarbrough Elementary is a  school located in Midland, TX, which is in a mid-size city setting.  The student population of Barbara Yarbrough Elementary is 716, and the school serves PK through 6...",243,Barbara YarbroughElementary
Stem Academy at Enis Elementary,"Decatur, TX",Decatur Independent School District,2428.0,K-5,392,16:1,"Stem Academy at Enis Elementary is a  school located in Decatur, TX, which is in a distant town setting.  The student population of Stem Academy at Enis Elementary is 392, and the school serves K through...",243,Stem Academy at EnisElementary
Pecan Grove Elementary,"Richmond, TX",Fort Bend Independent School District,2429.0,PK-5,725,17:1,"Pecan Grove Elementary is a  school located in Richmond, TX, which is in a large suburb setting.  The student population of Pecan Grove Elementary is 725, and the school serves PK through 5 At Pecan Grove...",243,Pecan GroveElementary
Lizzie Curtis Elementary,"Fort Worth, TX",Northwest Independent School District,2430.0,PK-5,729,15:1,"Lizzie Curtis Elementary is a  school located in Fort Worth, TX, which is in a large city setting.  The student population of Lizzie Curtis Elementary is 729, and the school serves PK through 5 At Lizzie...",243,Lizzie CurtisElementary
Oveta Culp Hobby Elementary,"Fort Cavazos, TX",Killeen Independent School District,2431.0,PK-3,786,16:1,"Oveta Culp Hobby Elementary is a  school located in Fort Cavazos, TX, which is in a large suburb setting.  The student population of Oveta Culp Hobby Elementary is 786, and the school serves PK through...",244,Oveta Culp HobbyElementary
Northwest Crossing Elementary,"San Antonio, TX",Northside Independent School District,2432.0,PK-5,412,13:1,"Northwest Crossing Elementary is a  school located in San Antonio, TX, which is in a large city setting.  The student population of Northwest Crossing Elementary is 412, and the school serves PK through...",244,Northwest CrossingElementary
Duryea Elementary,"Katy, TX",Cypress-Fairbanks Independent School District,2433.0,PK-5,"1,089",15:1,"Duryea Elementary is a  school located in Katy, TX, which is in a large suburb setting.  The student population of Duryea Elementary is 1089, and the school serves PK through 5 At Duryea Elementary, 36%...",244,DuryeaElementary
Golden Rule Southwest,"Dallas, TX",,2434.0,PK-6,199,12:1,"Golden Rule Southwest is a  school located in Dallas, TX, which is in a large city setting.  The student population of Golden Rule Southwest is 199, and the school serves PK through 6 At Golden Rule Southwest,...",244,Golden RuleSouthwest
Naomi Press Elementary,"McKinney, TX",Mckinney Independent School District,2435.0,K-5,424,13:1,"Naomi Press Elementary is a  school located in McKinney, TX, which is in a large suburb setting.  The student population of Naomi Press Elementary is 424, and the school serves K through 5 At Naomi Press...",244,Naomi PressElementary
Curtis Elementary,"Weatherford, TX",Weatherford Independent School District,2436.0,PK-5,610,15:1,"Curtis Elementary is a  school located in Weatherford, TX, which is in a fringe town setting.  The student population of Curtis Elementary is 610, and the school serves PK through 5 At Curtis Elementary,...",244,CurtisElementary
Barrow Elementary,"Brazoria, TX",Columbia-Brazoria Independent School District,2437.0,1-5,378,13:1,"Barrow Elementary is a  school located in Brazoria, TX, which is in a fringe rural setting.  The student population of Barrow Elementary is 378, and the school serves 1 through 5 At Barrow Elementary,...",244,BarrowElementary
Freeman Elementary,"Houston, TX",Pasadena Independent School District,2438.0,PK-4,396,12:1,"Freeman Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of Freeman Elementary is 396, and the school serves PK through 4 At Freeman Elementary,...",244,FreemanElementary
Rice School /La Escuela Rice,"Houston, TX",Houston Independent School District,2439.0,K-8,"1,040",16:1,"Rice School /La Escuela Rice is a  school located in Houston, TX, which is in a large city setting.  The student population of Rice School /La Escuela Rice is 1040, and the school serves K through 8 At...",244,Rice School /La EscuelaRice
Evadale Elementary,"Evadale, TX",Evadale Independent School District,2440.0,PK-5,184,12:1,"Evadale Elementary is a  school located in Evadale, TX, which is in a fringe rural setting.  The student population of Evadale Elementary is 184, and the school serves PK through 5 At Evadale Elementary,...",244,EvadaleElementary
White Deer Elementary,"White Deer, TX",White Deer Independent School District,2441.0,PK-5,158,10:1,"White Deer Elementary is a  school located in White Deer, TX, which is in a remote rural setting.  The student population of White Deer Elementary is 158, and the school serves PK through 5 At White Deer...",245,White DeerElementary
Falcon Ridge Elementary,"Huffman, TX",Huffman Independent School District,2442.0,K-5,657,13:1,"Falcon Ridge Elementary is a  school located in Huffman, TX, which is in a fringe rural setting.  The student population of Falcon Ridge Elementary is 657, and the school serves K through 5 At Falcon Ridge...",245,Falcon RidgeElementary
Snook Elementary,"Somerville, TX",Snook Independent School District,2443.0,PK-5,305,15:1,"Snook Elementary is a  school located in Somerville, TX, which is in a distant rural setting.  The student population of Snook Elementary is 305, and the school serves PK through 5 At Snook Elementary,...",245,SnookElementary
Adam Elementary,"Houston, TX",Cypress-Fairbanks Independent School District,2444.0,PK-5,986,13:1,"Adam Elementary is a  school located in Houston, TX, which is in a large suburb setting.  The student population of Adam Elementary is 986, and the school serves PK through 5 At Adam Elementary, 38% scored...",245,AdamElementary
Farrell Elementary,"Grand Prairie, TX",Arlington Independent School District,2445.0,PK-6,584,14:1,"Farrell Elementary is a  school located in Grand Prairie, TX, which is in a large suburb setting.  The student population of Farrell Elementary is 584, and the school serves PK through 6 At Farrell Elementary,...",245,FarrellElementary
William B Miller Elementary,"Dallas, TX",Dallas Independent School District,2446.0,PK-6,260,11:1,"William B Miller Elementary is a  school located in Dallas, TX, which is in a large city setting.  The student population of William B Miller Elementary is 260, and the school serves PK through 6 At William...",245,William B MillerElementary
Deweyville Elementary,"Orange, TX",Deweyville Independent School District,2447.0,PK-5,265,13:1,"Deweyville Elementary is a  school located in Orange, TX, which is in a distant rural setting.  The student population of Deweyville Elementary is 265, and the school serves PK through 5 At Deweyville...",245,DeweyvilleElementary
Maple Lawn Elementary,"Dallas, TX",Dallas Independent School District,2448.0,PK-5,478,13:1,"Maple Lawn Elementary is a  school located in Dallas, TX, which is in a large city setting.  The student population of Maple Lawn Elementary is 478, and the school serves PK through 5 At Maple Lawn Elementary,...",245,Maple LawnElementary
West Rusk Int,"New London, TX",West Rusk County Consolidated Independent School District,2449.0,3-5,203,12:1,"West Rusk Int is a  school located in New London, TX, which is in a distant rural setting.  The student population of West Rusk Int is 203, and the school serves 3 through 5 At West Rusk Int, 37% scored...",245,West RuskInt
Mcgregor Elementary,"McGregor, TX",Mcgregor Independent School District,2450.0,2-5,473,15:1,"Mcgregor Elementary is a  school located in McGregor, TX, which is in a fringe town setting.  The student population of Mcgregor Elementary is 473, and the school serves 2 through 5 At Mcgregor Elementary,...",245,McgregorElementary
Houston Elementary,"Conroe, TX",Conroe Independent School District,2451.0,PK-4,596,13:1,"Houston Elementary is a  school located in Conroe, TX, which is in a mid-size city setting.  The student population of Houston Elementary is 596, and the school serves PK through 4 At Houston Elementary,...",246,HoustonElementary
Odom Elementary,"Houston, TX",Aldine Independent School District,2452.0,1-5,342,14:1,"Odom Elementary is a  school located in Houston, TX, which is in a large suburb setting.  The student population of Odom Elementary is 342, and the school serves 1 through 5 At Odom Elementary, 41% scored...",246,OdomElementary
Normangee Elementary,"Normangee, TX",Normangee Independent School District,2453.0,PK-5,310,14:1,"Normangee Elementary is a  school located in Normangee, TX, which is in a distant rural setting.  The student population of Normangee Elementary is 310, and the school serves PK through 5 At Normangee...",246,NormangeeElementary
Montclair Elementary,"Garland, TX",Garland Independent School District,2454.0,PK-5,526,14:1,"Montclair Elementary is a  school located in Garland, TX, which is in a large suburb setting.  The student population of Montclair Elementary is 526, and the school serves PK through 5 At Montclair Elementary,...",246,MontclairElementary
Eladio R Martinez Learning Center,"Dallas, TX",Dallas Independent School District,2455.0,PK-6,582,14:1,"Eladio R Martinez Learning Center is a  school located in Dallas, TX, which is in a large city setting.  The student population of Eladio R Martinez Learning Center is 582, and the school serves PK through...",246,Eladio R Martinez LearningCenter
Garcia Elementary,"Houston, TX",Houston Independent School District,2456.0,PK-5,325,16:1,"Garcia Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of Garcia Elementary is 325, and the school serves PK through 5 At Garcia Elementary, 37%...",246,GarciaElementary
Greenfield Elementary,"Fort Worth, TX",Eagle Mt-Saginaw Independent School District,2457.0,PK-5,649,15:1,"Greenfield Elementary is a  school located in Fort Worth, TX, which is in a large city setting.  The student population of Greenfield Elementary is 649, and the school serves PK through 5 At Greenfield...",246,GreenfieldElementary
Walnut Hill International Leadership Academy,"Dallas, TX",Dallas Independent School District,2458.0,PK-8,492,14:1,"Walnut Hill International Leadership Academy is a  school located in Dallas, TX, which is in a large city setting.  The student population of Walnut Hill International Leadership Academy is 492, and the...",246,Walnut Hill International LeadershipAcademy
Chancellor Elementary,"Houston, TX",Alief Independent School District,2459.0,PK-5,693,12:1,"Chancellor Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of Chancellor Elementary is 693, and the school serves PK through 5 At Chancellor Elementary,...",246,ChancellorElementary
Reilly Elementary,"Austin, TX",Austin Independent School District,2460.0,PK-5,357,14:1,"Reilly Elementary is a  school located in Austin, TX, which is in a large city setting.  The student population of Reilly Elementary is 357, and the school serves PK through 5 At Reilly Elementary, 47%...",246,ReillyElementary
Howe Int,"Howe, TX",Howe Independent School District,2461.0,3-5,284,14:1,"Howe Int is a  school located in Howe, TX, which is in a distant rural setting.  The student population of Howe Int is 284, and the school serves 3 through 5 At Howe Int, 44% scored at or above the proficient...",247,HoweInt
Iduma Elementary,"Killeen, TX",Killeen Independent School District,2462.0,PK-5,808,14:1,"Iduma Elementary is a  school located in Killeen, TX, which is in a mid-size city setting.  The student population of Iduma Elementary is 808, and the school serves PK through 5 At Iduma Elementary, 40%...",247,IdumaElementary
Harris J R Elementary,"Houston, TX",Houston Independent School District,2463.0,PK-5,312,12:1,"Harris J R Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of Harris J R Elementary is 312, and the school serves PK through 5 At Harris J R Elementary,...",247,Harris J RElementary
Wynn Seale Metropolitan School of Design,"Corpus Christi, TX",Corpus Christi Independent School District,2464.0,PK-6,695,16:1,"Wynn Seale Metropolitan School of Design is a  school located in Corpus Christi, TX, which is in a large city setting.  The student population of Wynn Seale Metropolitan School of Design is 695, and the...",247,Wynn Seale Metropolitan School ofDesign
Freiheit Elementary,"New Braunfels, TX",Comal Independent School District,2465.0,PK-5,659,14:1,"Freiheit Elementary is a  school located in New Braunfels, TX, which is in a mid-size city setting.  The student population of Freiheit Elementary is 659, and the school serves PK through 5 At Freiheit...",247,FreiheitElementary
William J Clinton Elementary,"Penitas, TX",La Joya Independent School District,2466.0,PK-5,504,15:1,"William J Clinton Elementary is a  school located in Penitas, TX, which is in a fringe rural setting.  The student population of William J Clinton Elementary is 504, and the school serves PK through 5...",247,William J ClintonElementary
Groveton Elementary,"Groveton, TX",Groveton Independent School District,2467.0,PK-5,350,14:1,"Groveton Elementary is a  school located in Groveton, TX, which is in a remote rural setting.  The student population of Groveton Elementary is 350, and the school serves PK through 5 At Groveton Elementary,...",247,GrovetonElementary
Daniel Ramirez Elementary,"Pharr, TX",Pharr-San Juan-Alamo Independent School District,2468.0,PK-5,484,15:1,"Daniel Ramirez Elementary is a  school located in Pharr, TX, which is in a small city setting.  The student population of Daniel Ramirez Elementary is 484, and the school serves PK through 5 At Daniel...",247,Daniel RamirezElementary
Norwood Elementary,"Burleson, TX",Burleson Independent School District,2469.0,PK-5,470,13:1,"Norwood Elementary is a  school located in Burleson, TX, which is in a large suburb setting.  The student population of Norwood Elementary is 470, and the school serves PK through 5 At Norwood Elementary,...",247,NorwoodElementary
Golden Meadows Elementary,"Garland, TX",Garland Independent School District,2470.0,PK-5,450,15:1,"Golden Meadows Elementary is a  school located in Garland, TX, which is in a large suburb setting.  The student population of Golden Meadows Elementary is 450, and the school serves PK through 5 At Golden...",247,Golden MeadowsElementary
Collins Elementary,"Houston, TX",Alief Independent School District,2471.0,PK-5,809,12:1,"Collins Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of Collins Elementary is 809, and the school serves PK through 5 At Collins Elementary,...",248,CollinsElementary
Dove Elementary,"Grapevine, TX",Grapevine-Colleyville Independent School District,2472.0,PK-5,399,10:1,"Dove Elementary is a  school located in Grapevine, TX, which is in a small city setting.  The student population of Dove Elementary is 399, and the school serves PK through 5 At Dove Elementary, 47% scored...",248,DoveElementary
Whitley Road Elementary,"Watauga, TX",Keller Independent School District,2473.0,PK-4,374,11:1,"Whitley Road Elementary is a  school located in Watauga, TX, which is in a large suburb setting.  The student population of Whitley Road Elementary is 374, and the school serves PK through 4 At Whitley...",248,Whitley RoadElementary
Black Elementary,"Mesquite, TX",Mesquite Independent School District,2474.0,PK-5,626,15:1,"Black Elementary is a  school located in Mesquite, TX, which is in a large suburb setting.  The student population of Black Elementary is 626, and the school serves PK through 5 At Black Elementary, 41%...",248,BlackElementary
Anson Jones Elementary,"Bryan, TX",Bryan Independent School District,2475.0,PK-4,635,14:1,"Anson Jones Elementary is a  school located in Bryan, TX, which is in a small city setting.  The student population of Anson Jones Elementary is 635, and the school serves PK through 4 At Anson Jones Elementary,...",248,Anson JonesElementary
Dr Lonnie Green Junior Elementary,"Del Rio, TX",,2476.0,K-5,605,19:1,"Dr Lonnie Green Junior Elementary is a  school located in Del Rio, TX, which is in a remote town setting.  The student population of Dr Lonnie Green Junior Elementary is 605, and the school serves K through...",248,Dr Lonnie Green JuniorElementary
Caldwell Elementary,"Round Rock, TX",Pflugerville Independent School District,2477.0,PK-5,540,12:1,"Caldwell Elementary is a  school located in Round Rock, TX, which is in a large suburb setting.  The student population of Caldwell Elementary is 540, and the school serves PK through 5 At Caldwell Elementary,...",248,CaldwellElementary
Fredericksburg Elementary,"Fredericksburg, TX",Fredericksburg Independent School District,2478.0,2-5,728,15:1,"Fredericksburg Elementary is a  school located in Fredericksburg, TX, which is in a remote town setting.  The student population of Fredericksburg Elementary is 728, and the school serves 2 through 5 At...",248,FredericksburgElementary
The Summit Leadership Academy,"Keene, TX",Keene Independent School District,2479.0,3-5,210,11:1,"The Summit Leadership Academy is a  school located in Keene, TX, which is in a fringe town setting.  The student population of The Summit Leadership Academy is 210, and the school serves 3 through 5 At...",248,The Summit LeadershipAcademy
Idea Kyle Academy,"Kyle, TX",,2480.0,K-5,674,25:1,"Idea Kyle Academy is a  school located in Kyle, TX, which is in a large suburb setting.  The student population of Idea Kyle Academy is 674, and the school serves K through 5 At Idea Kyle Academy, 40%...",248,Idea KyleAcademy
Cullen Place Elementary,"Corpus Christi, TX",Corpus Christi Independent School District,2481.0,PK-5,838,16:1,"Cullen Place Elementary is a  school located in Corpus Christi, TX, which is in a large city setting.  The student population of Cullen Place Elementary is 838, and the school serves PK through 5 At Cullen...",249,Cullen PlaceElementary
Raquel Cavazos Elementary,"Alton, TX",,2482.0,PK-5,539,17:1,"Raquel Cavazos Elementary is a  school located in Alton, TX, which is in a large suburb setting.  The student population of Raquel Cavazos Elementary is 539, and the school serves PK through 5 At Raquel...",249,Raquel CavazosElementary
Gardens Elementary,"Pasadena, TX",Pasadena Independent School District,2483.0,PK-4,425,11:1,"Gardens Elementary is a  school located in Pasadena, TX, which is in a mid-size city setting.  The student population of Gardens Elementary is 425, and the school serves PK through 4 At Gardens Elementary,...",249,GardensElementary
Morales Elementary,"Pasadena, TX",Pasadena Independent School District,2484.0,PK-4,394,12:1,"Morales Elementary is a  school located in Pasadena, TX, which is in a mid-size city setting.  The student population of Morales Elementary is 394, and the school serves PK through 4 At Morales Elementary,...",249,MoralesElementary
Almeda Elementary,"Houston, TX",Houston Independent School District,2485.0,PK-5,798,18:1,"Almeda Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of Almeda Elementary is 798, and the school serves PK through 5 At Almeda Elementary, 38%...",249,AlmedaElementary
Sanford-Fritch Elementary,"Fritch, TX",Sanford-Fritch Independent School District,2486.0,PK-5,326,12:1,"Sanford-Fritch Elementary is a  school located in Fritch, TX, which is in a distant rural setting.  The student population of Sanford-Fritch Elementary is 326, and the school serves PK through 5 At Sanford-Fritch...",249,Sanford-FritchElementary
H I Holland Elementary at Lisbon,"Dallas, TX",Dallas Independent School District,2487.0,PK-5,346,12:1,"H I Holland Elementary at Lisbon is a  school located in Dallas, TX, which is in a large city setting.  The student population of H I Holland Elementary at Lisbon is 346, and the school serves PK through...",249,H I Holland Elementary atLisbon
Huntsville Elementary,"Huntsville, TX",Huntsville Independent School District,2488.0,K-4,601,14:1,"Huntsville Elementary is a  school located in Huntsville, TX, which is in a distant town setting.  The student population of Huntsville Elementary is 601, and the school serves K through 4 At Huntsville...",249,HuntsvilleElementary
Bang Elementary,"Houston, TX",Cypress-Fairbanks Independent School District,2489.0,PK-5,958,15:1,"Bang Elementary is a  school located in Houston, TX, which is in a large suburb setting.  The student population of Bang Elementary is 958, and the school serves PK through 5 At Bang Elementary, 40% scored...",249,BangElementary
Lawndale Elementary,"Amarillo, TX",Amarillo Independent School District,2490.0,PK-5,362,15:1,"Lawndale Elementary is a  school located in Amarillo, TX, which is in a mid-size city setting.  The student population of Lawndale Elementary is 362, and the school serves PK through 5 At Lawndale Elementary,...",249,LawndaleElementary
Valley Ranch Elementary,"Porter, TX",New Caney Independent School District,2491.0,PK-5,871,16:1,"Valley Ranch Elementary is a  school located in Porter, TX, which is in a large suburb setting.  The student population of Valley Ranch Elementary is 871, and the school serves PK through 5 At Valley Ranch...",250,Valley RanchElementary
Lieder Elementary,"Houston, TX",Cypress-Fairbanks Independent School District,2492.0,PK-5,801,12:1,"Lieder Elementary is a  school located in Houston, TX, which is in a large suburb setting.  The student population of Lieder Elementary is 801, and the school serves PK through 5 At Lieder Elementary,...",250,LiederElementary
Northrich Elementary,"Richardson, TX",Richardson Independent School District,2493.0,PK-6,345,13:1,"Northrich Elementary is a  school located in Richardson, TX, which is in a mid-size city setting.  The student population of Northrich Elementary is 345, and the school serves PK through 6 At Northrich...",250,NorthrichElementary
Oakwood Elementary,"Oakwood, TX",Oakwood Independent School District,2494.0,PK-6,132,11:1,"Oakwood Elementary is a  school located in Oakwood, TX, which is in a remote rural setting.  The student population of Oakwood Elementary is 132, and the school serves PK through 6 At Oakwood Elementary,...",250,OakwoodElementary
